month_year,Big5_avg_1yr_posted,Big5_avg_3yr_posted,Big5_avg_5yr_posted,source
1995-01,10.00,10.50,10.75,BoC Valet (last weekly obs of month)
1995-02,9.63,10.00,10.38,BoC Valet (last weekly obs of month)
1995-03,9.25,9.63,9.88,BoC Valet (last weekly obs of month)
1995-04,9.00,9.13,9.38,BoC Valet (last weekly obs of month)
1995-05,8.50,8.63,8.88,BoC Valet (last weekly obs of month)
1995-06,8.00,8.25,8.63,BoC Valet (last weekly obs of month)
1995-07,7.63,8.13,8.50,BoC Valet (last weekly obs of month)
1995-08,8.13,8.63,8.95,BoC Valet (last weekly obs of month)
1995-09,8.13,8.63,8.95,BoC Valet (last weekly obs of month)
1995-10,7.75,8.25,8.70,BoC Valet (last weekly obs of month)
1995-11,7.25,8.00,8.45,BoC Valet (last weekly obs of month)
1995-12,7.25,8.00,8.45,BoC Valet (last weekly obs of month)
1996-01,6.75,7.25,7.80,BoC Valet (last weekly obs of month)
1996-02,6.50,7.25,7.80,BoC Valet (last weekly obs of month)
1996-03,7.00,8.00,8.50,BoC Valet (last weekly obs of month)
1996-04,6.50,8.00,8.50,BoC Valet (last weekly obs of month)
1996-05,6.50,8.00,8.50,BoC Valet (last weekly obs of month)
1996-06,6.50,8.00,8.50,BoC Valet (last weekly obs of month)
1996-07,6.50,8.00,8.50,BoC Valet (last weekly obs of month)
1996-08,6.13,7.38,7.95,BoC Valet (last weekly obs of month)
1996-09,6.13,7.38,7.95,BoC Valet (last weekly obs of month)
1996-10,5.35,6.35,7.20,BoC Valet (last weekly obs of month)
1996-11,5.20,6.20,6.95,BoC Valet (last weekly obs of month)
1996-12,5.20,6.20,6.95,BoC Valet (last weekly obs of month)
1997-01,5.20,6.50,7.25,BoC Valet (last weekly obs of month)
1997-02,5.05,6.25,7.00,BoC Valet (last weekly obs of month)
1997-03,5.20,6.55,7.30,BoC Valet (last weekly obs of month)
1997-04,5.55,6.95,7.65,BoC Valet (last weekly obs of month)
1997-05,5.40,6.80,7.35,BoC Valet (last weekly obs of month)
1997-06,5.20,6.50,7.00,BoC Valet (last weekly obs of month)
1997-07,5.65,6.50,7.00,BoC Valet (last weekly obs of month)
1997-08,5.65,6.50,7.00,BoC Valet (last weekly obs of month)
1997-09,5.65,6.50,6.85,BoC Valet (last weekly obs of month)
1997-10,5.65,6.35,6.70,BoC Valet (last weekly obs of month)
1997-11,5.65,6.35,6.70,BoC Valet (last weekly obs of month)
1997-12,6.65,7.00,7.05,BoC Valet (last weekly obs of month)
1998-01,6.40,6.70,6.85,BoC Valet (last weekly obs of month)
